Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1992","1992","1000 ha","221463","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1992","1992","1000 ha","45345.822","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1993","1993","1000 ha","221747","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1993","1993","1000 ha","45062.353","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1994","1994","1000 ha","221651","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1994","1994","1000 ha","45158.884","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1995","1995","1000 ha","217186.5","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1995","1995","1000 ha","49623.915","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1996","1996","1000 ha","215473.6","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1996","1996","1000 ha","51337.346","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1997","1997","1000 ha","215691.8","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1997","1997","1000 ha","51119.677","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1998","1998","1000 ha","215329.8","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1998","1998","1000 ha","51482.208","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","1999","1999","1000 ha","215075.3","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","1999","1999","1000 ha","51737.239","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","2000","2000","1000 ha","215393.3","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","2000","2000","1000 ha","51419.77","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","2001","2001","1000 ha","214485.6","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","2001","2001","1000 ha","52334.945","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","2002","2002","1000 ha","213468.9","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","2002","2002","1000 ha","53359.12","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","2003","2003","1000 ha","213001.4","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","2003","2003","1000 ha","53834.095","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6610","Agricultural land","2004","2004","1000 ha","212670.5","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6670","Other land","2004","2004","1000 ha","54172.47","I","Value imputed by a receiving agency",""
