Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2007","2007","1000 ha","182680","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2008","2008","1000 ha","28519.8","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2008","2008","1000 ha","115","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","182216.6","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2009","2009","1000 ha","28618.2","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2009","2009","1000 ha","117.4","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2009","2009","1000 ha","182047.7","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2010","2010","1000 ha","28683.8","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2010","2010","1000 ha","116.3","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","188361.7","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2011","2011","1000 ha","29180.6","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2011","2011","1000 ha","117.2","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","187690.7","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2012","2012","1000 ha","29332.5","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2012","2012","1000 ha","127.2","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","187552.4","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2013","2013","1000 ha","29394.7","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2013","2013","1000 ha","131.5","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","187467.9","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2014","2014","1000 ha","29470.2","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2014","2014","1000 ha","132","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","187197.2","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2015","2015","1000 ha","29601.1","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","2015","2015","1000 ha","132","I","Value imputed by a receiving agency",""
